field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense,1000,7.10,17.0,0,A0,off,5,21923,8377,1,22592,8,387.8,385.7,517.9,51.9,54.0,0.3,12.9,310.8,0.28,5.93,Release,48
dense,1000,7.10,17.0,0,A1,off,5,21923,8380,5,117568,9,403.9,397.3,426.6,54.5,67.0,10.5,12.4,309.8,2.10,5.93,Release,48
dense,1000,7.10,17.0,0,A2,off,5,21923,8380,9,221760,9,414.7,405.6,481.5,54.5,72.7,16.2,13.4,316.2,1.80,5.93,Release,48
dense,1000,7.10,17.0,150,A0,off,5,21923,8424,1,82496,17,400.6,392.8,434.7,58.9,63.4,2.6,14.8,313.7,2.58,5.93,Release,48
dense,1000,7.10,17.0,150,A1,off,5,21923,8424,5,386368,17,419.2,417.3,441.8,56.9,72.9,12.6,14.2,323.6,2.51,5.93,Release,48
dense,1000,7.10,17.0,150,A2,off,5,21923,8424,9,673856,17,434.3,414.5,453.3,51.2,76.0,22.7,14.5,312.0,2.53,5.93,Release,48
dense,1000,7.10,17.0,350,A0,off,5,21923,8462,1,226880,29,424.4,401.1,434.2,57.6,63.7,4.2,18.1,315.4,4.23,5.93,Release,48
dense,1000,7.10,17.0,350,A1,off,5,21923,8462,5,1119552,29,441.8,429.9,470.8,49.1,71.8,20.8,43.6,316.1,4.17,5.93,Release,48
dense,1000,7.10,17.0,350,A2,off,5,21923,8462,9,1997888,30,445.0,436.8,524.6,49.9,100.0,42.6,18.5,315.2,4.73,5.93,Release,48
dense-wide,530,5.00,17.0,0,A0,off,5,96700,34193,1,9280,4,543.2,538.2,600.2,83.7,91.3,0.1,14.0,422.3,0.08,11.89,Release,48
dense-wide,530,5.00,17.0,0,A1,off,5,96700,34238,7,86464,6,551.2,549.3,618.5,84.9,103.5,11.2,14.5,421.1,1.60,11.89,Release,48
dense-wide,530,5.00,17.0,0,A2,off,5,96700,34271,13,183616,7,577.2,563.6,649.2,83.0,112.9,22.3,15.4,423.3,1.72,11.89,Release,48
dense-wide,530,5.00,17.0,150,A0,off,5,96700,34491,1,91712,18,574.8,564.4,615.3,89.7,100.5,2.8,24.7,438.5,2.81,11.89,Release,48
dense-wide,530,5.00,17.0,150,A1,off,5,96700,34491,7,569280,18,578.7,576.2,634.1,84.9,111.9,18.7,23.1,433.4,2.67,11.89,Release,48
dense-wide,530,5.00,17.0,150,A2,off,5,96700,34491,12,939776,18,606.9,588.4,640.1,92.1,130.7,30.3,23.9,438.4,2.53,11.89,Release,48
dense-wide,530,5.00,17.0,350,A0,off,5,96700,34889,1,326720,35,628.2,609.3,656.0,84.6,107.1,5.7,45.2,462.4,5.70,11.89,Release,48
dense-wide,530,5.00,17.0,350,A1,off,5,96700,34889,7,2233280,35,651.5,632.9,702.2,83.8,129.7,37.1,58.9,446.2,5.31,11.89,Release,48
dense-wide,530,5.00,17.0,350,A2,off,5,96700,34889,12,3761408,36,705.6,658.5,749.0,84.8,156.1,62.9,57.8,439.9,5.24,11.89,Release,48
sparse,1000,7.10,17.0,0,A0,off,5,2242,980,1,22592,8,337.0,335.2,358.4,2.4,2.8,0.2,11.7,310.2,0.22,5.93,Release,48
sparse,1000,7.10,17.0,0,A1,off,5,2242,980,5,117568,9,343.5,342.3,363.3,2.4,10.8,8.2,11.7,308.8,1.64,5.93,Release,48
sparse,1000,7.10,17.0,0,A2,off,5,2242,980,8,199168,9,357.8,348.5,372.8,2.6,17.0,14.2,11.5,312.7,1.78,5.93,Release,48
sparse,1000,7.10,17.0,150,A0,off,5,2242,985,1,82496,17,340.0,337.3,354.1,2.4,5.2,2.6,12.2,309.4,2.59,5.93,Release,48
sparse,1000,7.10,17.0,150,A1,off,5,2242,985,5,386368,17,349.8,346.8,365.8,2.4,15.2,12.7,12.3,308.9,2.53,5.93,Release,48
sparse,1000,7.10,17.0,150,A2,off,5,2242,985,9,673856,17,360.5,356.9,381.7,2.5,25.1,22.7,11.9,309.5,2.52,5.93,Release,48
sparse,1000,7.10,17.0,350,A0,off,5,2242,990,1,226880,29,340.8,339.7,357.5,2.4,6.8,4.2,12.6,308.9,4.18,5.93,Release,48
sparse,1000,7.10,17.0,350,A1,off,5,2242,990,5,1119552,29,358.9,358.4,362.0,2.5,23.6,20.9,12.4,311.0,4.18,5.93,Release,48
sparse,1000,7.10,17.0,350,A2,off,5,2242,990,9,1997888,30,375.5,373.3,379.5,2.4,39.9,37.3,12.7,310.3,4.15,5.93,Release,48
dense-oversampled,2000,8.00,17.0,0,A0,off,5,4750,1651,1,57920,14,365.1,357.9,369.7,45.5,46.5,0.6,11.8,288.7,0.63,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A1,off,5,4750,1653,5,320320,15,378.4,365.9,400.1,44.6,55.5,10.4,11.9,289.0,2.09,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A2,off,5,4750,1654,7,467904,16,381.7,376.1,412.8,51.0,67.0,15.5,11.4,285.8,2.22,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A0,off,5,4750,1660,1,145472,23,365.3,356.2,382.3,45.0,48.8,3.3,12.3,287.0,3.34,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A1,off,5,4750,1660,5,680256,23,382.0,371.6,388.5,48.5,65.6,15.9,12.2,292.5,3.18,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A2,off,5,4750,1660,8,1070592,23,397.6,384.0,464.8,48.4,74.6,26.3,12.7,289.6,3.28,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A0,off,5,4750,1670,1,308800,34,367.8,361.0,407.0,48.5,54.3,5.2,13.3,288.3,5.20,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A1,off,5,4750,1670,5,1491776,34,389.7,377.3,408.1,44.8,69.9,24.6,14.0,290.5,4.92,4.68,Release,48
dense-oversampled,2000,8.00,17.0,350,A2,off,5,4750,1670,8,2332160,34,400.8,396.9,455.0,44.7,86.5,39.2,13.7,288.0,4.90,4.68,Release,48
