field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense,1000,7.10,17.0,0,A0,off,5,21923,8377,1,22592,8,1,13.35,381.7,379.5,548.4,52.4,55.3,0.4,12.7,303.6,0.42,5.93,Release,48
dense,1000,7.10,17.0,0,A0,on-zero,5,21923,8377,1,22592,8,1,13.35,387.9,379.4,392.9,52.7,55.6,0.4,12.1,307.3,0.43,5.93,Release,48
dense,1000,7.10,17.0,0,A0,on,5,21923,8377,1,22592,8,1,13.35,388.0,381.2,415.5,51.1,53.9,0.4,11.9,312.8,0.38,5.93,Release,48
dense,1000,7.10,17.0,0,A0,on-strong,5,21923,8377,1,22592,8,1,13.35,384.5,372.0,412.3,52.4,55.2,0.4,12.1,303.3,0.37,5.93,Release,48
dense,1000,7.10,17.0,0,A1,off,5,21923,8380,5,117568,9,1,13.35,397.4,387.9,434.3,56.8,61.7,2.5,12.0,303.1,0.51,5.93,Release,48
dense,1000,7.10,17.0,0,A1,on-zero,5,21923,8380,5,117568,9,1,13.35,385.3,381.3,408.7,52.1,57.0,2.4,12.2,303.5,0.48,5.93,Release,48
dense,1000,7.10,17.0,0,A1,on,5,21923,8384,80,2255360,9,14,13.35,402.8,390.8,479.5,48.8,64.0,12.2,12.7,302.9,0.15,5.93,Release,48
dense,1000,7.10,17.0,0,A1,on-strong,5,21923,8384,142,4232576,10,20,13.35,406.3,401.7,435.8,49.8,68.4,15.4,13.1,307.9,0.11,5.93,Release,48
dense,1000,7.10,17.0,0,A2,off,5,21923,8380,9,221760,9,1,13.35,390.1,380.7,405.2,49.4,54.4,2.7,12.8,304.9,0.31,5.93,Release,48
dense,1000,7.10,17.0,0,A2,on-zero,5,21923,8380,9,221760,9,1,13.35,386.3,380.0,414.3,49.3,56.5,2.5,13.4,303.9,0.28,5.93,Release,48
dense,1000,7.10,17.0,0,A2,on,5,21923,8384,174,5047168,10,15,13.35,399.3,393.7,422.4,53.0,65.9,12.2,13.0,304.4,0.07,5.93,Release,48
dense,1000,7.10,17.0,0,A2,on-strong,5,21923,8390,449,13496896,11,31,13.35,411.1,406.8,459.4,54.7,83.9,24.4,13.2,303.9,0.05,5.93,Release,48
dense,1000,7.10,17.0,150,A0,off,5,21923,8424,1,82496,17,1,13.35,401.3,385.9,431.6,53.0,58.1,3.3,14.2,316.7,3.27,5.93,Release,48
dense,1000,7.10,17.0,150,A0,on-zero,5,21923,8424,1,82496,17,1,13.35,389.4,388.6,410.7,53.4,58.3,2.8,14.0,307.2,2.80,5.93,Release,48
dense,1000,7.10,17.0,150,A0,on,5,21923,8424,1,82496,17,1,13.35,421.0,394.6,428.8,59.6,64.9,3.0,14.6,315.9,2.97,5.93,Release,48
dense,1000,7.10,17.0,150,A0,on-strong,5,21923,8424,1,82496,17,1,13.35,406.0,384.7,407.8,53.5,58.9,2.8,13.5,311.4,2.84,5.93,Release,48
dense,1000,7.10,17.0,150,A1,off,5,21923,8424,5,386368,17,1,13.35,406.3,397.7,424.3,51.9,58.1,3.2,15.9,311.8,0.63,5.93,Release,48
dense,1000,7.10,17.0,150,A1,on-zero,5,21923,8424,5,386368,17,1,13.35,394.4,381.7,404.9,50.9,56.3,3.0,13.8,305.6,0.60,5.93,Release,48
dense,1000,7.10,17.0,150,A1,on,5,21923,8424,67,5693120,17,14,13.35,418.3,402.7,472.9,54.1,71.0,18.5,14.8,308.3,0.28,5.93,Release,48
dense,1000,7.10,17.0,150,A1,on-strong,5,21923,8428,238,20569984,17,30,13.35,511.9,498.3,543.3,49.7,154.9,94.4,48.3,314.3,0.40,5.93,Release,48
dense,1000,7.10,17.0,150,A2,off,5,21923,8424,9,673856,17,1,13.35,408.5,398.8,433.1,49.6,65.3,3.8,20.0,312.6,0.42,5.93,Release,48
dense,1000,7.10,17.0,150,A2,on-zero,5,21923,8424,9,673856,17,1,13.35,424.3,398.3,441.0,57.2,70.9,3.8,26.9,312.0,0.42,5.93,Release,48
dense,1000,7.10,17.0,150,A2,on,5,21923,8424,186,15562880,17,15,13.35,493.5,434.2,538.0,48.7,129.5,77.9,47.7,308.8,0.42,5.93,Release,48
dense,1000,7.10,17.0,150,A2,on-strong,5,21923,8428,493,42895680,18,31,13.35,563.6,552.0,581.0,51.1,198.0,143.6,48.2,306.0,0.29,5.93,Release,48
dense,1000,7.10,17.0,350,A0,off,5,21923,8462,1,226880,29,1,13.35,419.3,392.3,454.4,53.6,60.0,4.2,18.6,333.3,4.20,5.93,Release,48
dense,1000,7.10,17.0,350,A0,on-zero,5,21923,8462,1,226880,29,1,13.35,399.2,394.5,427.1,52.9,59.6,4.4,18.3,310.9,4.36,5.93,Release,48
dense,1000,7.10,17.0,350,A0,on,5,21923,8462,1,226880,29,1,13.35,399.4,394.5,436.1,48.8,55.2,4.4,18.7,310.6,4.37,5.93,Release,48
dense,1000,7.10,17.0,350,A0,on-strong,5,21923,8462,1,226880,29,1,13.35,407.7,390.8,428.3,52.2,58.8,4.4,18.5,315.8,4.40,5.93,Release,48
dense,1000,7.10,17.0,350,A1,off,5,21923,8462,5,1119552,29,1,13.35,457.0,421.8,490.8,54.2,64.0,6.5,31.1,318.5,1.30,5.93,Release,48
dense,1000,7.10,17.0,350,A1,on-zero,5,21923,8462,5,1119552,29,1,13.35,434.7,413.1,484.3,52.0,60.5,5.0,28.0,323.9,1.00,5.93,Release,48
dense,1000,7.10,17.0,350,A1,on,5,21923,8462,67,15471296,29,14,13.35,428.2,418.2,461.0,52.9,82.7,22.5,19.4,317.5,0.34,5.93,Release,48
dense,1000,7.10,17.0,350,A1,on-strong,5,21923,8464,246,59135360,30,30,13.35,517.8,501.1,588.0,54.3,172.0,116.6,21.9,311.0,0.47,5.93,Release,48
dense,1000,7.10,17.0,350,A2,off,5,21923,8464,9,1997888,30,1,13.35,410.1,404.1,413.3,47.9,64.9,14.4,18.6,313.3,1.59,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on-zero,5,21923,8464,9,1997888,30,1,13.35,402.2,399.6,435.6,48.8,61.6,10.5,17.2,310.7,1.17,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on,5,21923,8464,187,43830976,30,15,13.35,486.6,472.0,507.9,48.6,134.0,83.6,23.4,309.5,0.45,5.93,Release,48
dense,1000,7.10,17.0,350,A2,on-strong,5,21923,8467,497,118245440,31,31,13.35,615.7,606.0,633.7,53.1,268.8,210.6,21.9,308.9,0.42,5.93,Release,48
