run	family	rung	round	N	scale_lo	scale_hi	printed_MAD	max_z	limit	margin	state	verdict
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	INERT	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	2	8	0.181659	0.181835	0.1817	2.1640	2.1270	1.0174	INERT	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.00	3	7	0.0507412	0.0507782	0.0508	6.7790	2.0200	3.3559	INERT	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.25	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	RESOLVED	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.25	2	8	0.181659	0.181835	0.1817	2.1640	2.1270	1.0174	RESOLVED	KEEP
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	0.50	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	RESOLVED	KEEP
CWhiteFocus_AutoFocus_20220429_000244_attempt01	A	1.00	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	RESOLVED	KEEP
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	INERT	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	2	8	0.181659	0.181835	0.1817	2.1640	2.1270	1.0174	INERT	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	0.50	3	7	0.0507412	0.0507782	0.0508	6.7790	2.0200	3.3559	RESOLVED	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	1.00	1	9	0.246701	0.24685	0.2468	2.8410	2.2150	1.2826	RESOLVED	REJECT
CWhiteFocus_AutoFocus_20220429_000244_attempt01	B	1.00	2	8	0.181659	0.181835	0.1817	2.1640	2.1270	1.0174	RESOLVED	KEEP
D01_ultrawide_40mm	A	0.00	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	INERT	REJECT
D01_ultrawide_40mm	A	0.00	2	7	0.0569767	0.0569811	0.0570	32.6780	2.0200	16.1772	INERT	REJECT
D01_ultrawide_40mm	A	0.00	3	6	0.0563425	0.0563508	0.0563	22.6000	1.8870	11.9767	INERT	REJECT
D01_ultrawide_40mm	A	0.25	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	INERT	REJECT
D01_ultrawide_40mm	A	0.25	2	7	0.0569767	0.0569811	0.0570	32.6780	2.0200	16.1772	RESOLVED	REJECT
D01_ultrawide_40mm	A	0.25	3	6	0.0563425	0.0563508	0.0563	22.6000	1.8870	11.9767	RESOLVED	REJECT
D01_ultrawide_40mm	A	0.50	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	INERT	REJECT
D01_ultrawide_40mm	A	0.50	2	7	0.0569767	0.0569811	0.0570	32.6780	2.0200	16.1772	RESOLVED	REJECT
D01_ultrawide_40mm	A	0.50	3	6	0.0563425	0.0563508	0.0563	22.6000	1.8870	11.9767	RESOLVED	REJECT
D01_ultrawide_40mm	A	1.00	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	RESOLVED	KEEP
D01_ultrawide_40mm	B	0.50	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	INERT	REJECT
D01_ultrawide_40mm	B	0.50	2	7	0.0569767	0.0569811	0.0570	32.6780	2.0200	16.1772	RESOLVED	REJECT
D01_ultrawide_40mm	B	0.50	3	6	0.0563425	0.0563508	0.0563	22.6000	1.8870	11.9767	RESOLVED	REJECT
D01_ultrawide_40mm	B	1.00	1	8	0.988302	0.988588	0.9885	2.1280	2.1270	1.0005	RESOLVED	REJECT
D01_ultrawide_40mm	B	1.00	2	7	0.0569767	0.0569811	0.0570	32.6780	2.0200	16.1772	RESOLVED	KEEP
D02_rich_135mm	A	0.00	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	INERT	KEEP
D02_rich_135mm	A	0.25	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	INERT	KEEP
D02_rich_135mm	A	0.50	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	INERT	KEEP
D02_rich_135mm	A	1.00	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	RESOLVED	KEEP
D02_rich_135mm	B	0.50	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	INERT	KEEP
D02_rich_135mm	B	1.00	1	8	0.701611	0.701989	0.7018	2.0370	2.1270	0.9577	RESOLVED	KEEP
D03_redcat_250mm	A	0.00	1	9	1.8064	1.80814	1.8069	1.1550	2.2150	0.5214	INERT	KEEP
