run	round	rejected_pos	r	N_stars	s=|r|*sqrt(N*)	rho=sigma3/sigma0
CWhiteFocus_AutoFocus_20220429_000244_attempt01	1	20350	-0.7256	4288	47.5143	1.0000
CWhiteFocus_AutoFocus_20220429_000244_attempt01	2	20650	-0.3888	4361	25.6755	1.0000
CWhiteFocus_AutoFocus_20220429_000244_attempt01	3	20800	-0.3497	2182	16.3351	1.0000
D01_ultrawide_40mm	1	5991	2.5191	18	10.6876	0.7365
D01_ultrawide_40mm	2	6009	1.8511	14	6.9262	0.7365
D01_ultrawide_40mm	3	5973	-1.2895	3828	79.7824	0.7365
D08_c11_2800mm	1	14164	-0.4188	26	2.1355	0.6295
D08_c11_2800mm	2	14000	0.1972	68	1.6262	0.6295
D08_c11_2800mm	3	14246	0.1121	12	0.3883	0.6295
D09_c14_3800mm	1	18236	-1.4497	12	5.0219	1.0000
D11_rc10_585_afbin2	1	12000	0.1484	50	1.0493	1.0000
D12_c14_585_afbin2	1	19577	0.4200	10	1.3282	1.1304
D16_esprit550_ha3	1	8000	1.3307	43	8.7260	0.6380
D17_cdk14_oiii5	1	12180	1.1292	8	3.1939	1.1193
D17_cdk14_oiii5	2	12120	0.6845	16	2.7380	1.1193
FlyData_AutoFocus_20260607_030642_attempt01	1	664	0.4395	67	3.5975	1.0482
FlyData_AutoFocus_20260607_030642_attempt01	2	739	0.2681	128	3.0332	1.0482
FlyData_AutoFocus_20260607_030642_attempt01	3	964	0.2546	266	4.1524	1.0482
LinwoodFocus_AutoFocus_20220329_211008_attempt01	1	21184	-0.4800	11	1.5920	0.6865
Panos_attempt01	1	38396	-0.3519	122	3.8869	nan
Panos_attempt01	2	40396	0.2697	23	1.2934	nan
Panos_attempt01	3	36396	0.0000	234	0.0000	nan
bobp_AutoFocus_20260626_215910_attempt01	1	5588	0.5355	33	3.0762	0.9851
bobp_AutoFocus_20260626_215910_attempt01	2	5684	0.4624	88	4.3377	0.9851
caboose_AutoFocus_20220803_211249_attempt01	1	7275	-0.0238	18	0.1010	45.1768
caboose_AutoFocus_20220803_211249_attempt01	2	6975	0.0084	23	0.0403	45.1768
caboose_AutoFocus_20220803_211249_attempt01	3	7200	0.0000	30	0.0000	45.1768
cwhite_2026_AutoFocus_20260621_214312_attempt01	1	2789	0.3173	45	2.1285	1.0000
cwhite_2026_AutoFocus_20260621_214312_attempt01	2	2745	-0.3137	149	3.8292	1.0000
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	1	4859	-0.3240	32	1.8328	1.0000
lumos_AutoFocus_20260708_231255_attempt01	1	233102	-1.1308	4	2.2616	0.4326
lumos_AutoFocus_20260708_231255_attempt01	2	295414	-1.0511	3	1.8206	0.4326
lumos_AutoFocus_20260708_231255_attempt01	3	248680	-0.6384	71	5.3793	0.4326
mccomiskey_attempt01	1	18718	-0.3577	2851	19.0993	1.0000
mccomiskey_attempt01	2	18598	-0.3140	3386	18.2715	1.0000
mccomiskey_attempt01	3	18678	0.0586	4873	4.0907	1.0000
mufti_AutoFocus_20260607_030642-20260615T214722Z-3-001_attempt01	1	2725	-0.4719	264	7.6675	1.0133
mufti_AutoFocus_20260607_030642-20260615T214722Z-3-001_attempt01	2	2525	-0.2561	317	4.5597	1.0133
timmer_5_AutoFocus_20260614_021244_attempt01	1	685	-0.3088	6166	24.2482	1.0000
timmer_5_AutoFocus_20260614_021244_attempt01	2	639	0.1185	5372	8.6853	1.0000
timmer_5_AutoFocus_20260614_021244_attempt01	3	731	0.0336	2013	1.5075	1.0000
toml999_attempt01	1	4174	0.4372	1129	14.6902	0.2961
